LIFE-005	Endurance / robustness	Over-limit step-stress margin test	Determine robustness margin between specified operating limits, functional failure and destructive failure on sacrificial samples	Increase temperature, input voltage, load and, where applicable, vibration in controlled steps beyond specification until functional failure; continue to destructive limit only when the safety plan permits	Applied stress, functional-limit point, destruct-limit point, failure mode and post-failure inspection	Margins meet the project robustness target and observed failure modes are fed back into the failure-mode-effects-and-diagnostic analysis and dependent-failure analysis	Partial	Keysight N6700 modular power system with N6775A source and N6791A electronic load; thermal chamber; digital oscilloscope; independent safety cutoffs; higher-range source/load or vibration equipment when required; sacrificial samples	N6700 can perform controlled electrical step stress only inside its 60-volt/5-ampere/300-watt source and 60-volt/20-ampere/100-watt load limits; testing beyond those limits requires dedicated equipment.	ISO 26262-5:2018 over-limit testing; product robustness plan; see iso26262-asil-test-mapping.md LIFE-005
FUSA-002	Functional safety	Threshold coordination and tolerance stack-up	Prove that regulation, monitor thresholds and the load valid-operating range retain margin across tolerance, temperature, transients and ageing	Combine worst-case regulation and transient data with measured overvoltage/undervoltage monitor thresholds, hysteresis and deglitch timing over temperature; include post-stress drift	Regulation extrema, transient extrema, monitor trip/release thresholds, hysteresis, deglitch time and remaining margin	Regulation including transients remains inside the monitor window, and the monitor window remains inside the safety-related load valid-operating range, with documented margin	Available	Keysight N6700 modular power system with N6775A source and N6791A electronic load; digital oscilloscope; thermal chamber; calibrated precision digital multimeter recommended for threshold verification	N6775A/N6791A reproduce the electrical corners and N6700 logs them; the oscilloscope measures threshold/deglitch timing and the chamber covers temperature corners.	ISO 26262-5:2018 hardware safety requirements and verification; see iso26262-asil-test-mapping.md FUSA-002
FUSA-003	Functional safety	Fault reaction time versus fault-tolerant time interval	Verify that fault detection plus fault reaction reaches the defined safe or degraded state before the allocated fault-tolerant time interval expires	Inject representative overvoltage, undervoltage, feedback and oscillation faults at worst-case temperature and timing tolerance; time-stamp fault onset, detection and safe-state completion	Fault-detection time interval, fault-reaction time interval, total reaction time, safe-state outputs and fault flags	Worst measured detection plus reaction time is less than or equal to the allocated fault-tolerant time interval with project-defined margin	Partial	Keysight N6700 modular power system with N6775A source and N6791A electronic load; digital oscilloscope; thermal chamber; fault-injection fixtures/test hooks as required	N6775A can create programmed supply faults and N6791A loads the output; the oscilloscope provides correlated timing. Feedback/component faults require dedicated injection fixtures.	ISO 26262-1:2018 timing definitions; ISO 26262-4:2018 technical safety concept; see iso26262-asil-test-mapping.md FUSA-003
FUSA-004	Functional safety	Latent-fault detection of safety mechanisms	Verify self-test or periodic-test coverage of faults in voltage monitors, references, reset paths and safe-state paths that the safety case counts as detected	Use device test modes or fault-injection hooks to force comparator, reference, reset/error-path and related latent faults; verify detection within the multiple-point fault-detection interval	Detection result, detection time, diagnostic flag, start inhibit or safe-state reaction	Every latent fault credited as detected by the safety analysis is detected within its allocated detection interval and causes the specified reaction	Partial	Keysight N6700 modular power system with N6775A source and N6791A electronic load; digital oscilloscope; device test mode or dedicated fault-injection fixture; control/communications interface	N6700 establishes the operating point and records rail behavior; latent-fault injection normally depends on device-specific test modes or external fixtures.	ISO 26262-5:2018 hardware architectural metrics and fault-injection verification; see iso26262-asil-test-mapping.md FUSA-004
FUSA-005	Functional safety	Regulator/monitor independence and dependent failures	Show that a shared-resource fault cannot corrupt regulation and its monitoring simultaneously where independence is claimed	Inject shared reference/bandgap drift, feedback-divider faults, feedback-pin shorts, monitor supply/ground faults, clock faults and local overtemperature identified by dependent-failure analysis	Output excursion, monitor response, diagnostic response and safe-state transition	No single identified shared-resource fault produces an undetected output excursion beyond the safety limit	Partial	Keysight N6700 modular power system with N6775A source and N6791A electronic load; digital oscilloscope; thermal chamber; circuit-level fault-injection fixture and device test hooks	N6700 supplies/loads the converter and measures rail behavior; shared-resource faults require design-specific injection access.	ISO 26262-9:2018 dependent-failure analysis; ISO 26262-5:2018; see iso26262-asil-test-mapping.md FUSA-005
FUSA-006	Functional safety	Failure-mode-effects-and-diagnostic-analysis-derived component fault-injection campaign	Experimentally substantiate diagnostic-coverage claims where the failure-mode-effects-and-diagnostic analysis or safety case relies on physical detection of representative component faults	Inject safe representative component failure modes such as switch short, output-capacitor open, feedback-divider open/short, current-sense drift, inductor fault and reference drift	Injected fault, observed electrical effect, diagnostic detection, reaction time and resulting state	Observed fault effect and detection agree with the safety analysis; update the analysis and claimed diagnostic coverage when they do not	Partial	Keysight N6700 modular power system with N6775A source and N6791A electronic load; digital oscilloscope; relay/transistor fault-injection fixtures; configurable links or programmable fault elements; safety enclosure as needed	N6700 provides repeatable source/load conditions and logging; physical component-fault injection needs dedicated fixtures and protection.	ISO 26262-5:2018 fault-injection testing and Annex D; see iso26262-asil-test-mapping.md FUSA-006
FUSA-007	Functional safety	Safe-state path and safe-state maintenance	Verify the complete path from fault detection to the defined safe state and prove that the state is held until the specified recovery condition	Trigger each safety mechanism, including with the controlling microcontroller unresponsive; verify fail-safe/error/reset outputs, downstream enables, latching, retry counters and recovery rules	Safe-state outputs, entry time, state retention, retry behavior and recovery condition	Safe state is reached within the allocated time, maintained as specified and exited only through the permitted recovery condition	Partial	Keysight N6700 modular power system with N6775A source and N6791A electronic load; digital oscilloscope; fault-injection fixture; control/communications isolation fixture as required	N6700 reproduces electrical conditions; oscilloscope correlates fault, detection and safe-state outputs. Controller-independent path testing needs additional fixture/control.	ISO 26262-4:2018 technical safety concept; see iso26262-asil-test-mapping.md FUSA-007
FUSA-008	Functional safety	Digital safety mechanisms in power-management or system-basis devices	Verify configuration-memory integrity, serial-interface protection, watchdog, clock monitoring and built-in self-test mechanisms where present	Corrupt configuration/test registers through supported test modes; inject serial cyclic-redundancy-check/framing errors; disturb clock/watchdog timing; execute logic or analog built-in self-test as applicable	Diagnostic flags, error outputs, reset/safe-state reaction, detection time and recovery behavior	Each applicable digital safety mechanism detects the injected error and produces the reaction specified by the device safety manual and project safety requirement	Partial	Keysight N6700 modular power system with N6775A source and N6791A electronic load; digital oscilloscope; communications exerciser; programmable clock/watchdog/error-injection capability; device-specific test mode	N6700 supplies/loads and logs rail behavior; digital mechanism verification requires the relevant serial/control interfaces and device test features.	ISO 26262-11:2018 semiconductor guidance; device safety manual; see iso26262-asil-test-mapping.md FUSA-008
FUSA-009	Functional safety	Redundant-supply switchover and emergency operation	For fail-operational or decomposed architectures, verify switchover, fault isolation and emergency-operation duration after loss of either supply path	Fail each supply path under load using open, short-to-ground, short-to-battery and overvoltage faults; measure switchover and hold-up; verify cross-current isolation and emergency operation duration	Switchover time, hold-up voltage, equalizing current, isolation of faulted path and emergency-operation duration	No interruption beyond the safety requirement; faulted path is isolated and emergency operation is maintained for at least the allocated emergency-operation tolerance interval	Partial	Keysight N6700 modular power system with N6775A source and N6791A electronic load; additional independent source/load channels; digital oscilloscope; multi-pole fault-insertion/OR-ing fixture	The installed N6775A and N6791A cover one source/load path; redundant-path verification requires at least one additional independent source/load path and switching fixture.	ISO 26262-4:2018 emergency operation; ISO 26262-9:2018 decomposition/dependent failures; see iso26262-asil-test-mapping.md FUSA-009
FUSA-010	Functional safety	Expanded functional testing with rare and out-of-specification inputs	Exercise rare combinations and invalid sequences that can expose undefined safety-related behavior beyond normal qualification profiles	Combine invalid commands, enable toggling during start-up/shutdown, fault during start-up, crank plus load step, maximum temperature plus minimum input plus maximum load, and enable glitches near thresholds	Rail behavior, diagnostic response, reset/safe-state behavior, recovery and any undefined state	Behavior remains defined by the safety requirements; no undetected or latched unsafe state	Partial	Keysight N6700 modular power system with N6775A source and N6791A electronic load; digital oscilloscope; thermal chamber; function/arbitrary-waveform or control-interface fault generator as needed	N6700 can automate many combined voltage/load/temperature cases; command corruption and narrow control-pin glitches need additional interface or waveform-generation hardware.	ISO 26262-5:2018 expanded functional testing; see iso26262-asil-test-mapping.md FUSA-010
